[05-Jun-2016 11:57:06 Europe/Paris] PHP Fatal error:  Call to undefined method CustomerManager::getSubList() in E:\EasyPHP\data\localweb\clim\module\client\update_client.php on line 23
[05-Jun-2016 12:15:09 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\module\client\proc\seek.php on line 32
[05-Jun-2016 12:15:13 Europe/Paris] PHP Warning:  Invalid argument supplied for foreach() in E:\EasyPHP\data\localweb\clim\module\client\proc\seek.php on line 32
[05-Jun-2016 13:48:44 Europe/Paris] PHP Notice:  Undefined index: cl_number in E:\EasyPHP\data\localweb\clim\module\client\proc\seek_sub.php on line 35
[05-Jun-2016 13:52:39 Europe/Paris] PHP Fatal error:  Call to undefined method CustomerManager::getSubList() in E:\EasyPHP\data\localweb\clim\module\client\new_sub.php on line 19
[05-Jun-2016 13:53:49 Europe/Paris] PHP Fatal error:  Call to undefined method CustomerManager::getSubList() in E:\EasyPHP\data\localweb\clim\module\client\new_sub.php on line 19
[05-Jun-2016 13:53:51 Europe/Paris] PHP Fatal error:  Call to undefined method CustomerManager::getSubList() in E:\EasyPHP\data\localweb\clim\module\client\new_sub.php on line 19
[05-Jun-2016 13:54:29 Europe/Paris] PHP Fatal error:  Class 'CustomerManager' not found in E:\EasyPHP\data\localweb\clim\module\client\new_sub.php on line 17
[05-Jun-2016 13:54:31 Europe/Paris] PHP Fatal error:  Class 'CustomerManager' not found in E:\EasyPHP\data\localweb\clim\module\client\new_sub.php on line 17
[05-Jun-2016 13:56:39 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\module\client\class\SubManager.php on line 124
[05-Jun-2016 14:09:49 Europe/Paris] PHP Notice:  Undefined index: contact in E:\EasyPHP\data\localweb\clim\module\client\update_sub.php on line 33
[05-Jun-2016 14:09:49 Europe/Paris] PHP Notice:  Undefined index: name in E:\EasyPHP\data\localweb\clim\module\client\update_sub.php on line 35
[05-Jun-2016 14:09:49 Europe/Paris] PHP Notice:  Undefined index: adress in E:\EasyPHP\data\localweb\clim\module\client\update_sub.php on line 37
[05-Jun-2016 14:09:49 Europe/Paris] PHP Notice:  Undefined index: tel in E:\EasyPHP\data\localweb\clim\module\client\update_sub.php on line 38
[05-Jun-2016 14:09:49 Europe/Paris] PHP Notice:  Undefined index: mail in E:\EasyPHP\data\localweb\clim\module\client\update_sub.php on line 39
[05-Jun-2016 14:09:49 Europe/Paris] PHP Notice:  Undefined index: com in E:\EasyPHP\data\localweb\clim\module\client\update_sub.php on line 41
[05-Jun-2016 14:11:10 Europe/Paris] PHP Catchable fatal error:  Argument 1 passed to SubManager::updateSub() must be an instance of Customer, instance of Sub given, called in E:\EasyPHP\data\localweb\clim\module\client\proc\update_sub.php on line 23 and defined in E:\EasyPHP\data\localweb\clim\module\client\class\SubManager.php on line 135
[05-Jun-2016 14:18:34 Europe/Paris] PHP Warning:  PDOStatement::execute(): SQLSTATE[HY093]: Invalid parameter number: parameter was not defined in E:\EasyPHP\data\localweb\clim\module\client\class\SubManager.php on line 126
